id:ID(Point),lat,lon
"36.105542 -93.512207",36.105542,-93.512207
"36.105558 -93.598317",36.105558,-93.598317
"36.105569 -93.469491",36.105569,-93.469491
"36.10558 -93.495218",36.10558 ,-93.495218
"36.105601 -93.765789",36.105601,-93.765789
"36.105612 -93.532437",36.105612,-93.532437
"36.105612 -93.73776",36.105612, -93.73776
"36.105617 -93.440941",36.105617,-93.440941
"36.105628 -93.741021",36.105628,-93.741021
"36.10565 -93.530071",36.10565 ,-93.530071
"36.10566 -93.441998",36.10566 ,-93.441998
"36.105679 -93.440952",36.105679,-93.440952
"36.105692 -93.598178",36.105692,-93.598178
"36.105751 -93.560498",36.105751,-93.560498
"36.105768 -93.532238",36.105768,-93.532238
"36.105768 -93.6147",36.105768,8 -93.6147
"36.105778 -93.488368",36.105778,-93.488368
"36.105789 -93.727621",36.105789,-93.727621
"36.10581 -93.728619",36.10581 ,-93.728619
"36.105832 -93.530527",36.105832,-93.530527
"36.105837 -93.495159",36.105837,-93.495159
"36.105848 -93.614829",36.105848,-93.614829
"36.105859 -93.737229",36.105859,-93.737229
"36.105891 -93.597507",36.105891,-93.597507
"36.105902 -93.531637",36.105902,-93.531637
"36.105912 -93.52903",36.105912, -93.52903
"36.105918 -93.508248",36.105918,-93.508248
"36.105939 -93.736987",36.105939,-93.736987
"36.10595 -93.614711",36.10595 ,-93.614711
"36.105971 -93.50349",36.105971, -93.50349
"36.105971 -93.52734",36.105971, -93.52734
"36.105982 -93.736612",36.105982,-93.736612
"36.105988 -93.485117",36.105988,-93.485117
"36.105998 -93.441011",36.105998,-93.441011
"36.106009 -93.512358",36.106009,-93.512358
"36.106009 -93.596101",36.106009,-93.596101
"36.106009 -93.735378",36.106009,-93.735378
"36.10602 -93.52711",36.10602 , -93.52711
"36.10603 -93.78825",36.10603 , -93.78825
"36.106041 -93.508098",36.106041,-93.508098
"36.106052 -93.74159",36.106052, -93.74159
"36.106089 -93.506387",36.106089,-93.506387
"36.106089 -93.765708",36.106089,-93.765708
"36.106132 -93.469491",36.106132,-93.469491
"36.106132 -93.484897",36.106132,-93.484897
"36.106132 -93.5938",36.106132,2 -93.5938
"36.106132 -93.758348",36.106132,-93.758348
"36.106138 -93.594009",36.106138,-93.594009
"36.106147 -93.604576",36.106147,-93.604576
"36.106148 -93.564038",36.106148,-93.564038
"36.106159 -93.441612",36.106159,-93.441612
"36.106159 -93.503689",36.106159,-93.503689
"36.106159 -93.507878",36.106159,-93.507878
"36.106159 -93.593548",36.106159,-93.593548
"36.106181 -93.527008",36.106181,-93.527008
"36.106202 -93.732932",36.106202,-93.732932
"36.106207 -93.512701",36.106207,-93.512701
"36.106207 -93.614432",36.106207,-93.614432
"36.106218 -93.493191",36.106218,-93.493191
"36.106218 -93.506999",36.106218,-93.506999
"36.106229 -93.507632",36.106229,-93.507632
"36.106229 -93.604577",36.106229,-93.604577
"36.106229 -93.614062",36.106229,-93.614062
"36.10624 -93.50732",36.10624 , -93.50732
"36.10625 -93.614308",36.10625 ,-93.614308
"36.106261 -93.494907",36.106261,-93.494907
"36.106261 -93.50385",36.106261, -93.50385
"36.106261 -93.741788",36.106261,-93.741788
"36.106272 -93.476378",36.106272,-93.476378
"36.106272 -93.71612",36.106272, -93.71612
"36.106277 -93.484699",36.106277,-93.484699
"36.106277 -93.765338",36.106277,-93.765338
"36.106288 -93.613917",36.106288,-93.613917
"36.106309 -93.527051",36.106309,-93.527051
"36.106331 -93.493727",36.106331,-93.493727
"36.106342 -93.59497",36.106342, -93.59497
"36.106352 -93.50408",36.106352, -93.50408
"36.106368 -93.781367",36.106368,-93.781367
"36.106374 -93.488627",36.106374,-93.488627
"36.106379 -93.764437",36.106379,-93.764437
"36.106401 -93.49333",36.106401, -93.49333
"36.106411 -93.46956",36.106411, -93.46956
"36.106422 -93.494279",36.106422,-93.494279
"36.106422 -93.494639",36.106422,-93.494639
"36.106424 -93.592635",36.106424,-93.592635
"36.10646 -93.442309",36.10646 ,-93.442309
"36.106481 -93.614287",36.106481,-93.614287
"36.106492 -93.5924",36.106492,2 -93.5924
"36.106503 -93.50496",36.106503, -93.50496
"36.106503 -93.51284",36.106503, -93.51284
"36.106503 -93.526981",36.106503,-93.526981
"36.106519 -93.604658",36.106519,-93.604658
"36.106519 -93.715621",36.106519,-93.715621
"36.106519 -93.759099",36.106519,-93.759099
"36.106562 -93.44196",36.106562, -93.44196
"36.106562 -93.484607",36.106562,-93.484607
"36.106562 -93.59189",36.106562, -93.59189
"36.106562 -93.764061",36.106562,-93.764061
"36.106572 -93.733742",36.106572,-93.733742
"36.106578 -93.46955",36.106578, -93.46955
"36.106578 -93.62133",36.106578, -93.62133
"36.106578 -93.715417",36.106578,-93.715417
"36.106588 -93.781549",36.106588,-93.781549
"36.10661 -93.621679",36.10661 ,-93.621679
"36.10661 -93.74226",36.10661 , -93.74226
"36.106642 -93.4421",36.106642,2 -93.4421
