:START_ID(Point),:END_ID(Point),distance:double
"35.966561 -93.667829","35.967489 -93.667379",0.11078
"35.96684 -93.776051","35.966899 -93.775981",0.00909
"35.967119 -93.772521","35.967258 -93.773149",0.05856
"35.967612 -93.776078","35.968551 -93.77574",0.10868
"35.968331 -93.715562","35.968551 -93.715192",0.04129
"35.968379 -93.662492","35.968481 -93.662159",0.03202
"35.968648 -93.71406","35.968771 -93.713679",0.03689
"35.968878 -93.714897","35.968889 -93.71473",0.01507
"35.969168 -93.713491","35.969608 -93.71311",0.05971
"35.970032 -93.710997","35.970118 -93.711308",0.02956
"35.970118 -93.711308","35.970638 -93.711978",0.08349
"35.970531 -93.781351","35.970949 -93.781968",0.07237
"35.970938 -93.476287","35.971078 -93.476427",0.02001
"35.9714 -93.477081","35.972015 -93.477664",0.08614
"35.971649 -93.736288","35.971662 -93.736279",0.00166
"35.972129 -93.681948","35.972231 -93.68138",0.05232
"35.972349 -93.659031","35.973218 -93.658661",0.10214
"35.972467 -93.689689","35.972671 -93.689898",0.02945
"35.972671 -93.689898","35.972902 -93.69007",0.02997
"35.972988 -93.694732","35.973207 -93.692457",0.20604
"35.973427 -93.608171","35.973969 -93.607597",0.07932
"35.973481 -93.781571","35.973508 -93.78171",0.01286
"35.974028 -93.450661","35.974382 -93.450688",0.03941
"35.974559 -93.773782","35.974929 -93.773739",0.0413
"35.97692 -93.651918","35.977408 -93.652347",0.06655
"35.978829 -93.653919","35.97899 -93.653538",0.03865
"35.978921 -93.544539","35.979312 -93.544689",0.0455
"35.925668 -93.729777","35.926102 -93.730437",0.07651
"35.925872 -93.726688","35.926741 -93.726607",0.09684
"35.925888 -93.756321","35.926628 -93.756471",0.08333
"35.92644 -93.501082","35.926709 -93.5004",0.06826
"35.927335 -93.43487","35.928221 -93.434681",0.09991
"35.927782 -93.776432","35.928307 -93.775069",0.13582
"35.928237 -93.434676","35.92849 -93.4346",0.02893
"35.928731 -93.46426","35.929128 -93.462688",0.14817
"35.930501 -93.683509","35.93093 -93.683611",0.04855
"35.930941 -93.494907","35.931199 -93.494859",0.02899
"35.931891 -93.497278","35.932111 -93.49723",0.02483
"35.932239 -93.683751","35.932899 -93.683638",0.07404
"35.932239 -93.713051","35.933141 -93.713378",0.10446
"35.932331 -93.771421","35.933908 -93.770831",0.18311
"35.933167 -93.486168","35.933382 -93.48619",0.02397
"35.933312 -93.512368","35.93365 -93.512341",0.03764
"35.933999 -93.770799","35.934047 -93.770751",0.00686
"35.934348 -93.607351","35.934857 -93.607249",0.0573
"35.934417 -93.485991","35.934509 -93.485991",0.01022
"35.935378 -93.663892","35.93541 -93.664509",0.05563
"35.935612 -93.665335","35.935789 -93.666059",0.06805
"35.935828 -93.485707","35.936231 -93.485487",0.04896
"35.936332 -93.514578","35.936477 -93.514702",0.0196
"35.937411 -93.481748","35.937598 -93.481062",0.06513
"35.937861 -93.679642","35.93792 -93.679792",0.015
"35.938988 -93.52101","35.939208 -93.521257",0.03304
"35.94027 -93.491967","35.940468 -93.492718",0.07106
"35.940281 -93.684738","35.94057 -93.684888",0.03484
"35.94086 -93.49355","35.941289 -93.494119",0.06995
"35.94108 -93.711882","35.94307 -93.712381",0.22565
"35.941289 -93.494119","35.941568 -93.49436",0.03783
"35.941568 -93.526337","35.9416 -93.526107",0.021
"35.942711 -93.65334","35.942818 -93.654037",0.06382
"35.943612 -93.712402","35.94388 -93.712381",0.02984
"35.943709 -93.492847","35.944574 -93.49279",0.09626
"35.944749 -93.503158","35.945591 -93.503549",0.09996
"35.944991 -93.469979","35.945232 -93.46956",0.04624
"35.945082 -93.623648","35.945291 -93.623878",0.03111
"35.945559 -93.46521","35.945929 -93.465971",0.07986
"35.945629 -93.524819","35.945962 -93.525238",0.05282
"35.946101 -93.729842","35.946729 -93.730089",0.07324
"35.947962 -93.504649","35.948241 -93.504987",0.04343
"35.948424 -93.747848","35.94873 -93.747807",0.0342
"35.948499 -93.596616","35.94896 -93.596327",0.05745
"35.948719 -93.733259","35.948901 -93.73349",0.029
"35.949169 -93.704441","35.949947 -93.704028",0.0941
"35.949212 -93.478379","35.949711 -93.47913",0.0874
"35.949518 -93.507229","35.950639 -93.508517",0.17013
"35.949529 -93.650797","35.950081 -93.65054",0.06555
"35.949749 -93.480348","35.949878 -93.480209",0.01902
"35.95006 -93.535838","35.950607 -93.536219",0.06978
"35.951369 -93.438591","35.951642 -93.43798",0.06278
"35.951567 -93.705241","35.951632 -93.705251",0.00728
"35.951578 -93.749969","35.95168 -93.750522",0.05102
"35.951852 -93.745999","35.953311 -93.745307",0.17367
"35.952152 -93.666247","35.952211 -93.66652",0.02542
"35.952442 -93.526541","35.952549 -93.526101",0.04133
"35.95306 -93.596735","35.955178 -93.597201",0.23907
"35.953118 -93.436258","35.953209 -93.435958",0.02882
"35.953901 -93.636656","35.955199 -93.638867",0.24569
"35.954561 -93.43555","35.955269 -93.43541",0.07968
"35.955022 -93.756321","35.955097 -93.758391",0.18639
"35.95514 -93.531332","35.95514 -93.531187",0.01304
"35.955231 -93.734348","35.956969 -93.733951",0.19641
"35.95624 -93.781608","35.957012 -93.782027",0.0937
"35.956251 -93.70457","35.956251 -93.704431",0.0125
"35.956299 -93.524851","35.956449 -93.524717",0.02057
"35.956449 -93.64827","35.958852 -93.649837",0.30195
"35.956572 -93.479458","35.957307 -93.4792",0.08491
"35.956937 -93.515297","35.957002 -93.515737",0.04023
"35.958048 -93.783277","35.959179 -93.783851",0.13587
"35.95815 -93.521729","35.958241 -93.521568",0.01766
"35.958552 -93.747931","35.959968 -93.74962",0.21873
"35.958691 -93.507739","35.958691 -93.507449",0.02609
"35.958809 -93.509257","35.958992 -93.50916",0.02213
"35.95882 -93.514868","35.959298 -93.51482",0.05329
"35.959448 -93.784071","35.959721 -93.78435",0.03937
"35.959813 -93.742987","35.962548 -93.742459",0.30762
"35.960091 -93.45726","35.960547 -93.457458",0.05371
"35.961502 -93.465521","35.962591 -93.465081",0.12732
"35.961599 -93.781952","35.96169 -93.782097",0.0165
